ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"103.137.108.86","elite","AS138023","BD","Creation Online","190","Creation Online","5678","socks5","2693","2","2024-03-15T23:55:48.187Z","88","5727","6491"
"200.152.107.104","elite","AS21571","BR","MLS Wireless S/A","199","MLS Projetos de Informatica","1080","socks5","4607","3","2024-03-15T23:55:48.185Z","98","6313","6459"
"125.229.3.41","elite","AS3462","TW","Chunghwa Telecom Co., Ltd.","247","Chunghwa Telecom Co. Ltd.","80","socks5","2300","1","2024-03-15T23:55:47.898Z","99","6306","6392"
"104.20.75.132","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","3594","1","2024-03-15T23:55:47.986Z","100","6564","6564"
"103.127.52.132","elite","AS17995","ID","PT iForte Global Internet","786","Solusinet","5678","socks4","5008","2","2024-03-15T23:55:47.895Z","88","5704","6506"
"201.158.10.64","elite","AS61936","BR","VIATEC TELECOMUNICAÇÕES EIRELI","291","VIATEC TELECOMUNICAÇÕES LTDA","5678","socks4","5395","86","2024-03-15T23:55:47.990Z","92","5971","6466"
"47.112.157.97","elite","AS37963","CN","Addresses CNNIC","231","Aliyun Computing Co., LTD","8060","socks5","1306","4","2024-03-15T23:55:36.487Z","88","5612","6402"
"183.88.37.94","elite","AS45629","TH","Triple T Broadband Public Company Limited","198","Triple T Broadband Public Company Limited","8080","socks4","3120","3","2024-03-15T23:55:36.496Z","91","5875","6463"
"45.76.15.12","elite","AS20473","US","The Constant Company","83","Vultr Holdings, LLC","11969","socks4","510","3","2024-03-15T23:55:36.493Z","81","5252","6524"
"34.110.150.54","elite","AS396982","US","Google LLC","2","Google Cloud","3128","socks5","2506","2","2024-03-15T23:55:36.584Z","100","6407","6407"
"185.150.140.143","elite","AS29256","SY","Syrian Telecom","80","N/A","5678","socks4","3201","2","2024-03-15T23:55:36.502Z","84","5441","6484"
"159.89.138.130","elite","AS14061","US","DigitalOcean, LLC","154","Digital Ocean","80","socks4","3994","3","2024-03-15T23:55:36.491Z","100","6420","6425"
"36.91.233.114","elite","AS7713","ID","PT Telekomunikasi Indonesia","274","Telekomunikasi Indonesia","5678","socks4","3507","2","2024-03-15T23:55:36.499Z","97","6286","6495"
"66.207.184.21","elite","AS7029","US","Windstream Communications LLC","83","Voce Telecom, LLC","5432","socks4","1295","2","2024-03-15T23:55:36.494Z","99","6338","6422"
"195.211.244.190","elite","AS50712","RU","Kavkaz Internet Service Ltd.","99","Kavkaz Internet Service Ltd.","3629","socks4","1401","3","2024-03-15T23:55:24.790Z","98","6299","6429"
